City/Municipality,Month,Year,Alive,Death
BACOOR,March,2019,53,1
BACOOR,April,2019,8,
BACOOR,May,2019,14,
BACOOR,June,2019,26,
BACOOR,July,2019,181,1
BACOOR,August,2019,392,
BACOOR,September,2019,397,
BACOOR,October,2019,334,1
BACOOR,November,2019,217,1
BACOOR,December,2019,175,
BACOOR,January,2020,230,
BACOOR,February,2020,75,
BACOOR,March,2020,43,
BACOOR,April,2020,4,
BACOOR,May,2020,4,
BACOOR,June,2020,3,
BACOOR,July,2020,1,
BACOOR,August,2020,7,
BACOOR,September,2020,11,
BACOOR,October,2020,19,
BACOOR,November,2020,56,
BACOOR,December,2020,61,
BACOOR,January,2021,81,1
BACOOR,February,2021,67,
BACOOR,March,2021,40,
BACOOR,April,2021,14,
BACOOR,May,2021,5,
BACOOR,June,2021,12,
BACOOR,July,2021,12,
BACOOR,August,2021,9,1
BACOOR,September,2021,19,
BACOOR,October,2021,42,
BACOOR,November,2021,87,
BACOOR,December,2021,57,
BACOOR,January,2022,26,
BACOOR,February,2022,30,
BACOOR,March,2022,14,
BACOOR,April,2022,21,
BACOOR,May,2022,26,
BACOOR,June,2022,37,
BACOOR,July,2022,157,
BACOOR,August,2022,183,
BACOOR,September,2022,110,
BACOOR,October,2022,110,
BACOOR,November,2022,87,
BACOOR,December,2022,92,
BACOOR,January,2023,86,
BACOOR,February,2023,44,
BACOOR,March,2023,34,1
BACOOR,April,2023,24,
BACOOR,May,2023,26,1
BACOOR,June,2023,59,
BACOOR,July,2023,74,
BACOOR,August,2023,81,
BACOOR,September,2023,134,1
BACOOR,October,2023,209,
BACOOR,November,2023,200,
BACOOR,December,2023,124,1
BACOOR,January,2024,94,
BACOOR,February,2024,43,
BACOOR,March,2024,38,
BACOOR,April,2024,27,
BACOOR,May,2024,28,
BACOOR,June,2024,27,
BACOOR,July,2024,84,1
BACOOR,August,2024,179,2
BACOOR,September,2024,274,1
BACOOR,October,2024,505,2
BACOOR,November,2024,472,2
BACOOR,December,2024,388,2
CARMONA,January,2014,7,0
CARMONA,February,2014,4,0
CARMONA,March,2014,1,0
CARMONA,April,2014,3,0
CARMONA,May,2014,5,0
CARMONA,June,2014,1,0
CARMONA,July,2014,0,0
CARMONA,August,2014,6,0
CARMONA,September,2014,6,0
CARMONA,October,2014,5,0
CARMONA,November,2014,10,0
CARMONA,December,2014,1,0
CARMONA,January,2015,7,
CARMONA,February,2015,8,
CARMONA,March,2015,8,
CARMONA,April,2015,8,
CARMONA,May,2015,4,
CARMONA,June,2015,4,0
CARMONA,July,2015,3,0
CARMONA,August,2015,12,0
CARMONA,September,2015,32,0
CARMONA,October,2015,65,0
CARMONA,November,2015,27,0
CARMONA,December,2015,9,0
CARMONA,January,2016,20,
CARMONA,February,2016,18,
CARMONA,March,2016,7,
CARMONA,April,2016,1,
CARMONA,May,2016,1,
CARMONA,June,2016,2,0
CARMONA,July,2016,2,0
CARMONA,August,2016,11,
CARMONA,September,2016,17,
CARMONA,October,2016,5,
CARMONA,November,2016,5,
CARMONA,December,2016,5,0
CARMONA,January,2017,2,
CARMONA,February,2017,1,
CARMONA,March,2017,0,
CARMONA,April,2017,1,
CARMONA,May,2017,1,
CARMONA,June,2017,5,
CARMONA,July,2017,15,
CARMONA,August,2017,13,
CARMONA,September,2017,4,
CARMONA,October,2017,8,
CARMONA,November,2017,7,
CARMONA,December,2017,8,
CARMONA,January,2018,30,1
CARMONA,February,2018,16,
CARMONA,March,2018,4,
CARMONA,April,2018,5,
CARMONA,May,2018,0,
CARMONA,June,2018,2,
CARMONA,July,2018,7,
CARMONA,August,2018,13,
CARMONA,September,2018,54,1
CARMONA,October,2018,38,
CARMONA,November,2018,35,
CARMONA,December,2018,45,
CARMONA,January,2019,60,
CARMONA,February,2019,69,
CARMONA,March,2019,35,
CARMONA,April,2019,16,
CARMONA,May,2019,11,
CARMONA,June,2019,41,1
CARMONA,July,2019,151,2
CARMONA,August,2019,289,
CARMONA,September,2019,195,1
CARMONA,October,2019,142,
CARMONA,November,2019,65,
CARMONA,December,2019,27,
CARMONA,January,2020,60,
CARMONA,February,2020,19,
CARMONA,March,2020,2,
CARMONA,April,2020,0,
CARMONA,May,2020,0,
CARMONA,June,2020,0,
CARMONA,July,2020,0,
CARMONA,August,2020,0,
CARMONA,September,2020,1,
CARMONA,October,2020,1,
CARMONA,November,2020,1,
CARMONA,December,2020,4,
CARMONA,January,2021,13,
CARMONA,February,2021,41,
CARMONA,March,2021,20,
CARMONA,April,2021,0,
CARMONA,May,2021,4,
CARMONA,June,2021,10,
CARMONA,July,2021,5,
CARMONA,August,2021,7,
CARMONA,September,2021,4,
CARMONA,October,2021,30,
CARMONA,November,2021,35,
CARMONA,December,2021,15,
CARMONA,January,2022,4,
CARMONA,February,2022,7,
CARMONA,March,2022,6,
CARMONA,April,2022,13,
CARMONA,May,2022,9,
CARMONA,June,2022,22,
CARMONA,July,2022,39,
CARMONA,August,2022,64,
CARMONA,September,2022,57,
CARMONA,October,2022,57,
CARMONA,November,2022,28,
CARMONA,December,2022,13,
CARMONA,January,2023,21,
CARMONA,February,2023,8,
CARMONA,March,2023,4,
CARMONA,April,2023,5,
CARMONA,May,2023,8,
CARMONA,June,2023,21,
CARMONA,July,2023,16,
CARMONA,August,2023,9,
CARMONA,September,2023,9,
CARMONA,October,2023,14,
CARMONA,November,2023,14,
CARMONA,December,2023,5,
CARMONA,January,2024,8,
CARMONA,February,2024,5,
CARMONA,March,2024,2,
CARMONA,April,2024,1,
CARMONA,May,2024,2,
CARMONA,June,2024,1,
CARMONA,July,2024,10,
CARMONA,August,2024,40,
CARMONA,September,2024,74,
CARMONA,October,2024,116,
CARMONA,November,2024,108,
CARMONA,December,2024,81,
CAVITE CITY,January,2014,6,0
CAVITE CITY,February,2014,5,0
CAVITE CITY,March,2014,1,0
CAVITE CITY,April,2014,0,0
CAVITE CITY,May,2014,0,0
CAVITE CITY,June,2014,0,0
CAVITE CITY,July,2014,1,0
CAVITE CITY,August,2014,2,0
CAVITE CITY,September,2014,5,0
CAVITE CITY,October,2014,5,0
CAVITE CITY,November,2014,3,0
CAVITE CITY,December,2014,3,0
CAVITE CITY,January,2015,17,
CAVITE CITY,February,2015,16,
CAVITE CITY,March,2015,16,
CAVITE CITY,April,2015,16,
CAVITE CITY,May,2015,3,
CAVITE CITY,June,2015,7,0
